CancerModel,NormalModel,DeletedReaction,Reaction,FluxCancer,FluxNormal,FluxDifference
CT28,CN8,ADK3,10FTHFtm,0,NaN,NaN
CT28,CN8,ADK3,11DOCRTSLtm,0,0,0
CT28,CN8,ADK3,11DOCRTSLtr,0,0,0
CT28,CN8,ADK3,11DOCRTSTRNtm,0,0,0
CT28,CN8,ADK3,11DOCRTSTRNtr,0,0,0
CT28,CN8,ADK3,3DSPHR,0.000652294258348218,0.000336683388335057,0.00031561087001316
CT28,CN8,ADK3,3HAD100,0.0240109536748614,0.0108862374221652,0.0131247162526961
CT28,CN8,ADK3,3HAD120,0.0240109536748614,0.0108862374221652,0.0131247162526961
CT28,CN8,ADK3,3HAD140,0.0240109536748614,0.0108862374221652,0.0131247162526961
CT28,CN8,ADK3,3HAD40,0.0240109536748614,0.0108862374221652,0.0131247162526961
CT28,CN8,ADK3,3HAD60,0.0240109536748614,0.0108862374221652,0.0131247162526961
CT28,CN8,ADK3,3HAD80,0.0240109536748614,0.0108862374221652,0.0131247162526961
CT28,CN8,ADK3,3HLYTCL,0,0,0
CT28,CN8,ADK3,3MHISt1,-0.0203507154122917,-0.0155000282765059,-0.00485068713578585
CT28,CN8,ADK3,3MHISt2,-0.0203507154122917,-0.0105040750127046,-0.00984664039958716
CT28,CN8,ADK3,3OAR100,0.0240109536748614,0.0108862374221652,0.0131247162526961
CT28,CN8,ADK3,3OAR120,0.0240109536748614,0.0108862374221652,0.0131247162526961
CT28,CN8,ADK3,3OAR140,0.0240109536748614,0.0108862374221652,0.0131247162526961
CT28,CN8,ADK3,3OAR40,0.0240109536748614,0.0108862374221652,0.0131247162526961
CT28,CN8,ADK3,3OAR60,0.0240109536748614,0.0108862374221652,0.0131247162526961
CT28,CN8,ADK3,3OAR80,0.0240109536748614,0.0108862374221652,0.0131247162526961
CT28,CN8,ADK3,3OAS100,0.0240109536748614,0.0108862374221652,0.0131247162526961
CT28,CN8,ADK3,3OAS120,0.0240109536748614,0.0108862374221652,0.0131247162526961
CT28,CN8,ADK3,3OAS140,0.0240109536748614,0.0108862374221652,0.0131247162526961
CT28,CN8,ADK3,3OAS60,0.0240109536748614,0.0108862374221652,0.0131247162526961
CT28,CN8,ADK3,3OAS80,0.0240109536748614,0.0108862374221652,0.0131247162526961
CT28,CN8,ADK3,4MPTNLte,0.00347728828558047,0,0.00347728828558047
CT28,CN8,ADK3,4MPTNLtm,-0.00347728828558047,0,-0.00347728828558047
CT28,CN8,ADK3,5AOPtm,0,0,0
CT28,CN8,ADK3,ABO1g,0,0,0
CT28,CN8,ADK3,ABO2g,0,0,0
CT28,CN8,ADK3,ACACT1rm,0.0254299387372612,0,0.0254299387372612
CT28,CN8,ADK3,ACALDt,0,NaN,NaN
CT28,CN8,ADK3,ACCOAC,0.144718016307516,0.0762036619551567,0.0685143543523597
CT28,CN8,ADK3,ACGAM2E,0,0,0
CT28,CN8,ADK3,ACGAM6PSi,0,0,0
CT28,CN8,ADK3,ACGAMPM,0,0,0
CT28,CN8,ADK3,ACGAMtly,0,0,0
CT28,CN8,ADK3,ACHtn,0.16872896998234,0.0319320491602184,0.136796920822121
CT28,CN8,ADK3,ACITL,0,NaN,NaN
CT28,CN8,ADK3,ACMAT1,0.0240109536748614,0.0108862374221652,0.0131247162526961
CT28,CN8,ADK3,ACNAM9PL,0,NaN,NaN
CT28,CN8,ADK3,ACNAMPH,0,NaN,NaN
CT28,CN8,ADK3,ACOATA,0.0240109536748614,0.0108862374221652,0.0131247162526961
CT28,CN8,ADK3,ACOATE100,0,NaN,NaN
CT28,CN8,ADK3,ACOATE100p,0,NaN,NaN
CT28,CN8,ADK3,ACOATE120,0,NaN,NaN
CT28,CN8,ADK3,ACOATE120p,0,NaN,NaN
CT28,CN8,ADK3,ACOATE140p,0,NaN,NaN
CT28,CN8,ADK3,ACOATE160p,0,NaN,NaN
CT28,CN8,ADK3,ACOATE161,0,NaN,NaN
CT28,CN8,ADK3,ACOATE161p,0,NaN,NaN
CT28,CN8,ADK3,ACOATE180,0,NaN,NaN
CT28,CN8,ADK3,ACOATE180p,0,NaN,NaN
CT28,CN8,ADK3,ACOATE181,0,NaN,NaN
CT28,CN8,ADK3,ACOATE1812,0,NaN,NaN
CT28,CN8,ADK3,ACOATE18121p,0,NaN,NaN
CT28,CN8,ADK3,ACOATE18122p,0,NaN,NaN
CT28,CN8,ADK3,ACOATE1813,0,NaN,NaN
CT28,CN8,ADK3,ACOATE1813p,0,NaN,NaN
CT28,CN8,ADK3,ACOATE181p,0,NaN,NaN
CT28,CN8,ADK3,ACOATE1822p,0,NaN,NaN
CT28,CN8,ADK3,ACOATE1831,0,NaN,NaN
CT28,CN8,ADK3,ACOATE1831p,0,NaN,NaN
CT28,CN8,ADK3,ACOATE1832,0,NaN,NaN
CT28,CN8,ADK3,ACOATE1832p,0,NaN,NaN
CT28,CN8,ADK3,ACOATE184,0,NaN,NaN
CT28,CN8,ADK3,ACOATE184p,0,NaN,NaN
CT28,CN8,ADK3,ACOATE203,0,NaN,NaN
CT28,CN8,ADK3,ACOATE223,0,NaN,NaN
CT28,CN8,ADK3,ACOATE80,0,NaN,NaN
CT28,CN8,ADK3,ACOATE80p,0,NaN,NaN
CT28,CN8,ADK3,ACONTa,-0.16872896998234,NaN,NaN
CT28,CN8,ADK3,ACONTb,0.16872896998234,0.0801318154441333,0.0885971545382063
CT28,CN8,ADK3,ADHAPtx,0,NaN,NaN
CT28,CN8,ADK3,ADK1,0.269892864550326,0.212548848550624,0.0573440159997024
CT28,CN8,ADK3,ADMDC,0,NaN,NaN
CT28,CN8,ADK3,ADNCYC,0,NaN,NaN
CT28,CN8,ADK3,ADNK1,0,NaN,NaN
CT28,CN8,ADK3,ADPT,0,0.0140286661416252,-0.0140286661416252
CT28,CN8,ADK3,ADPt4,0.162398328491349,0,0.162398328491349
CT28,CN8,ADK3,ADSK,0,0,0
CT28,CN8,ADK3,ADSL1,0.00541482252663528,0.00128779566865009,0.00412702685798519
CT28,CN8,ADK3,ADSL2,0.0386089114303322,0.00217378938443629,0.0364351220458959
CT28,CN8,ADK3,ADSS,0.00541482252663528,0.00128779566865009,0.00412702685798519
CT28,CN8,ADK3,AGLPC,0,NaN,NaN
CT28,CN8,ADK3,AGLPH,0,NaN,NaN
CT28,CN8,ADK3,AGLPR,0,NaN,NaN
CT28,CN8,ADK3,AGLPT,0,NaN,NaN
CT28,CN8,ADK3,AGPAT1,0.00989326636555039,0.00510643532274756,0.00478683104280283
CT28,CN8,ADK3,AGPex,0,NaN,NaN
CT28,CN8,ADK3,AGPSx,0,NaN,NaN
CT28,CN8,ADK3,AHC,0,0,0
CT28,CN8,ADK3,AHCYStn,0,0,0
CT28,CN8,ADK3,AICART,0.0386089114302877,0.0021737893844147,0.036435122045873
CT28,CN8,ADK3,AIRCr,0.0386089114302877,0.0021737893844147,0.036435122045873
CT28,CN8,ADK3,AK2LGCHOLt,0,NaN,NaN
CT28,CN8,ADK3,AKGDa1,0,0.0198865918141505,-0.0198865918141505
CT28,CN8,ADK3,AKGDa2,0,0.0198865918141564,-0.0198865918141564
CT28,CN8,ADK3,AKGDb,0,-0.0198865918141564,0.0198865918141564
CT28,CN8,ADK3,AKGSUCCtm,0.00633064149110396,NaN,NaN
CT28,CN8,ADK3,ALAARGGLYr,0,NaN,NaN
CT28,CN8,ADK3,ALAARGGLYt,0,NaN,NaN
CT28,CN8,ADK3,ALABte,0,NaN,NaN
CT28,CN8,ADK3,ALASm,0,0,0
CT28,CN8,ADK3,ALAt4,998.976599725825,0,998.976599725825
CT28,CN8,ADK3,ALAtN1,-998.964068446588,NaN,NaN
CT28,CN8,ADK3,ALATRS,0.0188619207279314,0.00973562974058418,0.00912629098734727
CT28,CN8,ADK3,AMANK,0,NaN,NaN
CT28,CN8,ADK3,AMETEPMT,0,-0.00106619615382897,0.00106619615382897
CT28,CN8,ADK3,AMETt2m,0,0,0
CT28,CN8,ADK3,AMETtn,0,0,0
CT28,CN8,ADK3,AMID6,0.00633064149107773,NaN,NaN
CT28,CN8,ADK3,ARGATB0tc,0.0134017634252648,NaN,NaN
CT28,CN8,ADK3,ARGTRS,0.0134017634252648,0.00691735526096607,0.00648440816429875
CT28,CN8,ADK3,ARSA,0,NaN,NaN
CT28,CN8,ADK3,ASNt4,0.0104234279805364,0.1,-0.0895765720194636
CT28,CN8,ADK3,ASNTRS,0.0104234279805364,0.00538007962762105,0.00504334835291532
CT28,CN8,ADK3,ASPCTr,0.00429049663296155,0.00221455106429858,0.00207594556866297
CT28,CN8,ADK3,ASPPROASCT1,0.0614679237407994,NaN,NaN
CT28,CN8,ADK3,ASPTRS,0.013153693150873,0.00678931313970173,0.00636438001117125
CT28,CN8,ADK3,ATP1ter,0,0,0
CT28,CN8,ADK3,ATPAMPtp,0,NaN,NaN
CT28,CN8,ADK3,ATPS4m,0.1623983284913,0.00959576538436401,0.152802563106936
CT28,CN8,ADK3,ATPt4,-0.162398328491349,NaN,NaN
CT28,CN8,ADK3,ATPtm,0,NaN,NaN
CT28,CN8,ADK3,ATPtn,0.16872896998234,0.0319320491602184,0.136796920822121
CT28,CN8,ADK3,B3GALTg,0,0,0
CT28,CN8,ADK3,B3GNT39g,0,0,0
CT28,CN8,ADK3,B3GNT51g,0,0,0
CT28,CN8,ADK3,BAMPPALDOX,0,NaN,NaN
CT28,CN8,ADK3,BILDGLCURt,0,0,0
CT28,CN8,ADK3,BILDGLCURtr,0,0,0
CT28,CN8,ADK3,BILGLCURt,0,0,0
CT28,CN8,ADK3,BILGLCURtr,0,0,0
CT28,CN8,ADK3,BILIRED2,0,0,0
CT28,CN8,ADK3,BILIRUBtr,0,0,0
CT28,CN8,ADK3,BPNT,0,0,0
CT28,CN8,ADK3,BTNt2,0,NaN,NaN
CT28,CN8,ADK3,BTNt3i,0,NaN,NaN
CT28,CN8,ADK3,C14STRr,0.00423832312287686,0.000392810122662013,0.00384551300021485
CT28,CN8,ADK3,C3STDH1Pr,0.00423832312286861,0.000392810122693784,0.00384551300017482
CT28,CN8,ADK3,C3STKR2r,0.00423832312286861,0.000392810122693784,0.00384551300017482
CT28,CN8,ADK3,C4STMO1r,0.00423832312286861,0.000392810122693784,0.00384551300017482
CT28,CN8,ADK3,C4STMO2Pr,0.00423832312286861,0.000392810122693784,0.00384551300017482
CT28,CN8,ADK3,CACT6r,-0.000652294258316033,-0.0108862374221417,0.0102339431638256
CT28,CN8,ADK3,CBPS,0.00429049663295895,0.0022145510642432,0.00207594556871575
CT28,CN8,ADK3,CBPSam,0,0.00319858846145467,-0.00319858846145467
CT28,CN8,ADK3,CDIPTr,0.000869738112442064,0.00964775241106963,-0.00877801429862757
CT28,CN8,ADK3,CDPRBTLtg,0,0,0
CT28,CN8,ADK3,CDPtg,0,0,0
CT28,CN8,ADK3,CDS,0.00184821680372083,0.0101527967479997,-0.00830457994427885
CT28,CN8,ADK3,CEPTC,0.00641423930835769,0.00835708782869829,-0.00194284852034059
CT28,CN8,ADK3,CEPTE,0.00228310451182008,0.00117843036808135,0.00110467414373873
CT28,CN8,ADK3,CERT2gt,0,0,0
CT28,CN8,ADK3,CHAT,-0.16872896998234,-0.0319320491602184,-0.136796920822121
CT28,CN8,ADK3,CHATn,0.16872896998234,0.0319320491602184,0.136796920822121
CT28,CN8,ADK3,CHLPCTD,0.00641423930835769,0.00835708782869829,-0.00194284852034059
CT28,CN8,ADK3,CHOLESTTDe,0,NaN,NaN
CT28,CN8,ADK3,CHOLK,0.00641423930835769,0.00942328398251651,-0.00300904467415882
CT28,CN8,ADK3,CHOLtn,0.16872896998234,0.0319320491602184,0.136796920822121
CT28,CN8,ADK3,CHOLtu,0.00641423930835572,0.00437692255729871,0.00203731675105701
CT28,CN8,ADK3,CHSTEROLt,0,NaN,NaN
CT28,CN8,ADK3,CHSTEROLt2,0.00423832312287686,0.000392810122662013,0.00384551300021485
