CancerModel,NormalModel,DeletedReaction,Reaction,FluxCancer,FluxNormal,FluxDifference
CT28,CN10,ADK3,10FTHFtm,0,NaN,NaN
CT28,CN10,ADK3,11DOCRTSLtm,0,0,0
CT28,CN10,ADK3,11DOCRTSLtr,0,0,0
CT28,CN10,ADK3,11DOCRTSTRNtm,0,0,0
CT28,CN10,ADK3,11DOCRTSTRNtr,0,0,0
CT28,CN10,ADK3,3DSPHR,0.000652294258348218,0.000244338642876729,0.000407955615471489
CT28,CN10,ADK3,3HAD100,0.0240109536748614,0.00790038525785132,0.01611056841701
CT28,CN10,ADK3,3HAD120,0.0240109536748614,0.00790038525785132,0.01611056841701
CT28,CN10,ADK3,3HAD140,0.0240109536748614,0.00790038525785132,0.01611056841701
CT28,CN10,ADK3,3HAD40,0.0240109536748614,0.00790038525785132,0.01611056841701
CT28,CN10,ADK3,3HAD60,0.0240109536748614,0.00790038525785132,0.01611056841701
CT28,CN10,ADK3,3HAD80,0.0240109536748614,0.00790038525785132,0.01611056841701
CT28,CN10,ADK3,3HLYTCL,0,0.0023212869742633,-0.0023212869742633
CT28,CN10,ADK3,3MHISt1,-0.0203507154122917,-0.00362567469221631,-0.0167250407200754
CT28,CN10,ADK3,3MHISt2,-0.0203507154122917,NaN,NaN
CT28,CN10,ADK3,3OAR100,0.0240109536748614,0.00790038525785132,0.01611056841701
CT28,CN10,ADK3,3OAR120,0.0240109536748614,0.00790038525785132,0.01611056841701
CT28,CN10,ADK3,3OAR140,0.0240109536748614,0.00790038525785132,0.01611056841701
CT28,CN10,ADK3,3OAR40,0.0240109536748614,0.00790038525785132,0.01611056841701
CT28,CN10,ADK3,3OAR60,0.0240109536748614,0.00790038525785132,0.01611056841701
CT28,CN10,ADK3,3OAR80,0.0240109536748614,0.00790038525785132,0.01611056841701
CT28,CN10,ADK3,3OAS100,0.0240109536748614,0.00790038525785132,0.01611056841701
CT28,CN10,ADK3,3OAS120,0.0240109536748614,0.00790038525785132,0.01611056841701
CT28,CN10,ADK3,3OAS140,0.0240109536748614,0.00790038525785132,0.01611056841701
CT28,CN10,ADK3,3OAS60,0.0240109536748614,0.00790038525785132,0.01611056841701
CT28,CN10,ADK3,3OAS80,0.0240109536748614,0.00790038525785132,0.01611056841701
CT28,CN10,ADK3,4MPTNLte,0.00347728828558047,0,0.00347728828558047
CT28,CN10,ADK3,4MPTNLtm,-0.00347728828558047,0,-0.00347728828558047
CT28,CN10,ADK3,5AOPtm,0,0,0
CT28,CN10,ADK3,ABO1g,0,0,0
CT28,CN10,ADK3,ABO2g,0,0,0
CT28,CN10,ADK3,ACACT1rm,0.0254299387372612,0.00171042639362895,0.0237195123436322
CT28,CN10,ADK3,ACALDt,0,NaN,NaN
CT28,CN10,ADK3,ACCOAC,0.144718016307516,0.0553026968049592,0.0894153195025571
CT28,CN10,ADK3,ACGAM2E,0,0,0
CT28,CN10,ADK3,ACGAM6PSi,0,0,0
CT28,CN10,ADK3,ACGAMPM,0,0,0
CT28,CN10,ADK3,ACGAMtly,0,0,0
CT28,CN10,ADK3,ACHtn,0.16872896998234,0,0.16872896998234
CT28,CN10,ADK3,ACITL,0,NaN,NaN
CT28,CN10,ADK3,ACMAT1,0.0240109536748614,0.00790038525785132,0.01611056841701
CT28,CN10,ADK3,ACNAM9PL,0,0,0
CT28,CN10,ADK3,ACNAMPH,0,0,0
CT28,CN10,ADK3,ACOATA,0.0240109536748614,0.00790038525785132,0.01611056841701
CT28,CN10,ADK3,ACOATE100,0,NaN,NaN
CT28,CN10,ADK3,ACOATE100p,0,NaN,NaN
CT28,CN10,ADK3,ACOATE120,0,NaN,NaN
CT28,CN10,ADK3,ACOATE120p,0,NaN,NaN
CT28,CN10,ADK3,ACOATE140p,0,NaN,NaN
CT28,CN10,ADK3,ACOATE160p,0,NaN,NaN
CT28,CN10,ADK3,ACOATE161,0,NaN,NaN
CT28,CN10,ADK3,ACOATE161p,0,NaN,NaN
CT28,CN10,ADK3,ACOATE180,0,NaN,NaN
CT28,CN10,ADK3,ACOATE180p,0,NaN,NaN
CT28,CN10,ADK3,ACOATE181,0,NaN,NaN
CT28,CN10,ADK3,ACOATE1812,0,NaN,NaN
CT28,CN10,ADK3,ACOATE18121p,0,NaN,NaN
CT28,CN10,ADK3,ACOATE18122p,0,NaN,NaN
CT28,CN10,ADK3,ACOATE1813,0,NaN,NaN
CT28,CN10,ADK3,ACOATE1813p,0,NaN,NaN
CT28,CN10,ADK3,ACOATE181p,0,NaN,NaN
CT28,CN10,ADK3,ACOATE1822p,0,NaN,NaN
CT28,CN10,ADK3,ACOATE1831,0,NaN,NaN
CT28,CN10,ADK3,ACOATE1831p,0,NaN,NaN
CT28,CN10,ADK3,ACOATE1832,0,NaN,NaN
CT28,CN10,ADK3,ACOATE1832p,0,NaN,NaN
CT28,CN10,ADK3,ACOATE184,0,NaN,NaN
CT28,CN10,ADK3,ACOATE184p,0,NaN,NaN
CT28,CN10,ADK3,ACOATE203,0,NaN,NaN
CT28,CN10,ADK3,ACOATE223,0,NaN,NaN
CT28,CN10,ADK3,ACOATE80,0,NaN,NaN
CT28,CN10,ADK3,ACOATE80p,0,NaN,NaN
CT28,CN10,ADK3,ACONTa,-0.16872896998234,NaN,NaN
CT28,CN10,ADK3,ACONTb,0.16872896998234,NaN,NaN
CT28,CN10,ADK3,ADHAPtx,0,NaN,NaN
CT28,CN10,ADK3,ADK1,0.269892864550326,0.205769776422171,0.0641230881281555
CT28,CN10,ADK3,ADMDC,0,0,0
CT28,CN10,ADK3,ADNCYC,0,NaN,NaN
CT28,CN10,ADK3,ADNK1,0,NaN,NaN
CT28,CN10,ADK3,ADPT,0,0,0
CT28,CN10,ADK3,ADPt4,0.162398328491349,0,0.162398328491349
CT28,CN10,ADK3,ADSK,0,0,0
CT28,CN10,ADK3,ADSL1,0.00541482252663528,0.163390131618667,-0.157975309092032
CT28,CN10,ADK3,ADSL2,0.0386089114303322,0.0452342995530455,-0.00662538812271331
CT28,CN10,ADK3,ADSS,0.00541482252663528,0.163390131618667,-0.157975309092032
CT28,CN10,ADK3,AGLPC,0,NaN,NaN
CT28,CN10,ADK3,AGLPH,0,NaN,NaN
CT28,CN10,ADK3,AGLPR,0,NaN,NaN
CT28,CN10,ADK3,AGLPT,0,NaN,NaN
CT28,CN10,ADK3,AGPAT1,0.00989326636555039,0.00370585398604893,0.00618741237950146
CT28,CN10,ADK3,AGPex,0,NaN,NaN
CT28,CN10,ADK3,AGPSx,0,NaN,NaN
CT28,CN10,ADK3,AHC,0,0,0
CT28,CN10,ADK3,AHCYStn,0,0,0
CT28,CN10,ADK3,AICART,0.0386089114302877,0.0452342995530444,-0.0066253881227567
CT28,CN10,ADK3,AIRCr,0.0386089114302877,0.0452342995530444,-0.0066253881227567
CT28,CN10,ADK3,AK2LGCHOLt,0,NaN,NaN
CT28,CN10,ADK3,AKGDa1,0,0.184921485905057,-0.184921485905057
CT28,CN10,ADK3,AKGDa2,0,0.184921485905079,-0.184921485905079
CT28,CN10,ADK3,AKGDb,0,-0.184921485905079,0.184921485905079
CT28,CN10,ADK3,AKGSUCCtm,0.00633064149110396,NaN,NaN
CT28,CN10,ADK3,ALAARGGLYr,0,NaN,NaN
CT28,CN10,ADK3,ALAARGGLYt,0,NaN,NaN
CT28,CN10,ADK3,ALABte,0,NaN,NaN
CT28,CN10,ADK3,ALASm,0,0,0
CT28,CN10,ADK3,ALAt4,998.976599725825,1000,-1.02340027417461
CT28,CN10,ADK3,ALAtN1,-998.964068446588,-1000,1.0359315534115
CT28,CN10,ADK3,ALATRS,0.0188619207279314,0.00706536360504178,0.0117965571228897
CT28,CN10,ADK3,AMANK,0,0,0
CT28,CN10,ADK3,AMETEPMT,0,-0.000773762324797644,0.000773762324797644
CT28,CN10,ADK3,AMETt2m,0,0,0
CT28,CN10,ADK3,AMETtn,0,0,0
CT28,CN10,ADK3,AMID6,0.00633064149107773,NaN,NaN
CT28,CN10,ADK3,ARGATB0tc,0.0134017634252648,NaN,NaN
CT28,CN10,ADK3,ARGTRS,0.0134017634252648,0.00502007896831143,0.00838168445695339
CT28,CN10,ADK3,ARSA,0,NaN,NaN
CT28,CN10,ADK3,ASNt4,0.0104234279805364,0.00390444376030056,0.00651898422023581
CT28,CN10,ADK3,ASNTRS,0.0104234279805364,0.00390444376030056,0.00651898422023581
CT28,CN10,ADK3,ASPCTr,0.00429049663296155,0.00160714909134185,0.0026833475416197
CT28,CN10,ADK3,ASPPROASCT1,0.0614679237407994,0.1,-0.0385320762592006
CT28,CN10,ADK3,ASPTRS,0.013153693150873,0.00492715594560011,0.00822653720527288
CT28,CN10,ADK3,ATP1ter,0,0,0
CT28,CN10,ADK3,ATPAMPtp,0,NaN,NaN
CT28,CN10,ADK3,ATPS4m,0.1623983284913,0.97344731837624,-0.81104898988494
CT28,CN10,ADK3,ATPt4,-0.162398328491349,NaN,NaN
CT28,CN10,ADK3,ATPtm,0,0.97344731837624,-0.97344731837624
CT28,CN10,ADK3,ATPtn,0.16872896998234,0,0.16872896998234
CT28,CN10,ADK3,B3GALTg,0,0,0
CT28,CN10,ADK3,B3GNT39g,0,0,0
CT28,CN10,ADK3,B3GNT51g,0,0,0
CT28,CN10,ADK3,BAMPPALDOX,0,0,0
CT28,CN10,ADK3,BILDGLCURt,0,NaN,NaN
CT28,CN10,ADK3,BILDGLCURtr,0,NaN,NaN
CT28,CN10,ADK3,BILGLCURt,0,NaN,NaN
CT28,CN10,ADK3,BILGLCURtr,0,0,0
CT28,CN10,ADK3,BILIRED2,0,0,0
CT28,CN10,ADK3,BILIRUBtr,0,0,0
CT28,CN10,ADK3,BPNT,0,0,0
CT28,CN10,ADK3,BTNt2,0,NaN,NaN
CT28,CN10,ADK3,BTNt3i,0,NaN,NaN
CT28,CN10,ADK3,C14STRr,0.00423832312287686,0.000285071065604825,0.00395325205727204
CT28,CN10,ADK3,C3STDH1Pr,0.00423832312286861,0.0002850710656141,0.00395325205725451
CT28,CN10,ADK3,C3STKR2r,0.00423832312286861,0.0002850710656141,0.00395325205725451
CT28,CN10,ADK3,C4STMO1r,0.00423832312286861,0.0002850710656141,0.00395325205725451
CT28,CN10,ADK3,C4STMO2Pr,0.00423832312286861,0.0002850710656141,0.00395325205725451
CT28,CN10,ADK3,CACT6r,-0.000652294258316033,-0.00790038525781256,0.00724809099949653
CT28,CN10,ADK3,CBPS,0.00429049663295895,0.00497607677304572,-0.000685580140086764
CT28,CN10,ADK3,CBPSam,0,0,0
CT28,CN10,ADK3,CDIPTr,0.000869738112442064,0.00700158906738579,-0.00613185095494373
CT28,CN10,ADK3,CDPRBTLtg,0,0,0
CT28,CN10,ADK3,CDPtg,0,0,0
CT28,CN10,ADK3,CDS,0.00184821680372083,0.00736811100505134,-0.00551989420133051
CT28,CN10,ADK3,CEPTC,0.00641423930835769,0.00692013819526151,-0.000505898886903815
CT28,CN10,ADK3,CEPTE,0.00228310451182008,NaN,NaN
CT28,CN10,ADK3,CERT2gt,0,0,0
CT28,CN10,ADK3,CHAT,-0.16872896998234,0,-0.16872896998234
